Headline,text
A very American story about capitalism consuming our national preparedness and resiliency..txt,"Why is the United States running out of face masks for medical workers? How does the world’s wealthiest country find itself in such a tragic and avoidable mess? And how long will it take to get enough protective gear, if that’s even possible now? 
"
We don’t need any more novels or TV shows about cops who do the wrong thing for the “right” reason.txt,"It’s happening again. It took a fraudulent 911 call, the deaths of three citizens — Ahmaud Arbery, Breonna Taylor and George Floyd — and tweets from the president endorsing lethal force against a protest movement, but finally the slow-moving American conscience is recoiling in horror. 
"
Mitch McConnell has a tricky needle to thread.txt,"Mitch McConnell, the Senate majority leader, delights in confirming Republican-nominated jurists. District courts, appeals courts, most especially the Supreme Court — he wants to fill them all. In fact, with his party’s having largely given up on legislating in recent years, this may be what Mr. McConnell regards as his main duty. It is certainly the part at which he excels. 
"
Residents are nervous and exhausted It’s not too much to ask for a unified leadership from the mayor and the governor.txt,"Gov. Andrew Cuomo and Mayor Bill de Blasio have before them some of the most difficult challenges any holder of their respective offices has ever faced. Both men are often forced to choose between the least worst of many bad options. So, you’d think this great crisis would be an opportunity for the mayor and the governor to set aside their long-running feud and work together. The prognosis isn’t great. 
"
Here are seven reasons your “coronavirus party” is a bad idea.txt,"As the coronavirus continues to spread, epidemiologists like me are starting to field a remarkable question: Would people be better off if they just contracted the virus and got it over with? I’ve heard rumblings about people avoiding physical distancing or hosting a version of “chickenpox parties,” where noninfected people mingle with an infected person in an effort to catch the virus. 
"
"Turnout was inspiring, but our voting system is badly flawed.txt","Now that the ballots have been cast and we wait to see whose will be counted and whose will be ignored, can we please take a moment to acknowledge what a huge mess this whole thing has been? 
"
Five short films to break (and mend) your heart..txt,"Pam White raised three happy children, enjoyed a rewarding career and was a devoted partner. Except, as she put it, “there was just one little glitch” — early-onset Alzheimer’s disease. The family’s changing reality left one thing unaltered: her husband’s devotion. 
"
"Last chance, Jean LAST CHANCE.txt","These poems were composed over the past month from the subject lines of emails from the Trump campaign, mostly sent by “Donald J. Trump” but also from Mike, Don Jr., Eric, Lara, Melania, Newt, Ted Cruz, Official Trump Campaign Store, Trump 2021 Calendar, Official Trump Polling and TRUMP TASK FORCE. 
"
They shouldn’t lose hope They are at the heart of the fight to take back America.txt,"In Columbia, S.C., on Saturday, a young protester told a reporter that she just didn’t think voting is “how change happens.” 
"
"In a world where everything is illuminated, something essential is lost..txt","WHITE BLUFF, Tenn. — I don’t remember ever being afraid of the dark. If my mother were still alive perhaps she’d remind me of times when I begged to leave the light on at bedtime or came scurrying into my parents’ room, terrified of monsters that lurked in the pitch-black corners of my own. 
"
We want to reduce incarceration and protect the public..txt,"As district attorneys in New York State, we support efforts to make our criminal justice system fairer. Fairness and public safety are not in conflict. When people trust the criminal justice system to treat everyone equitably, we are all safer. 
"
A country in pain gets a lesson in perseverance.txt,"Let’s be honest. One of the big questions attending Joe Biden’s big speech at the Democratic National Convention was whether he still had enough gas and enough grip to get to the end of it without losing velocity or swerving this way and that. 
"
"From my elders, I learned that justice is sometimes seven generations away or more — and inevitable.txt","TULSA, Okla. — It was an ordinary July morning in the Arts District of the Muscogee Creek Nation territory here. Already hot and set to get hotter. I was inside my house fooling with some lyrics when my husband burst in. “We won!” he announced. The cellphone in his hand carried the breaking news. “We won the McGirt v. Oklahoma decision!” 
"
"For the moment, the right to choose is safe But the outlook is ominous.txt","Here’s a thought experiment. You’re John Roberts, not only the chief justice of the United States but the head of the entire federal judicial branch. After 15 years on the job, you find yourself in an exquisitely tough spot. 
"
Russia and Turkey brokered an end to the conflict in Nagorno-Karabakh But they don’t have the region’s best interests at heart.txt,"After weeks of brutal and bloody fighting between Armenians and Azerbaijanis in and around the disputed enclave of Nagorno-Karabakh, a halt has been called. Facing defeat, the Armenian side has more or less capitulated. Russian peacekeepers are already arriving to enforce a new peace deal. 
"
"Right now, being the best internet arsonist is what counts..txt","Is there an app for that? 
"
"They deserve better schools, but the courts don’t offer much hope.txt","Already ravaged by poor health outcomes and joblessness before a crushing wave of Covid-19 cases, the people of Detroit received welcome news Thursday in the form of a long-awaited ruling from a federal Court of Appeals. In Gary B. v. Whitmer, a three-judge panel on the Sixth Circuit Court of Appeals held that Detroit’s students enjoy a “fundamental right” to literacy under the United States Constitution. If allowed to stand, this landmark ruling could force the State of Michigan to dramatically improve the quality of education offered to thousands of Detroit’s most disadvantaged students. 
"
"The evidence directly linking children’s screen time to cognitive and social harm seems, in reality, to be paper thin.txt","Staying home is the best thing we can all do to stem the spread of Covid-19. That means our families’ screen time is about to go through the roof — even when the kids aren’t attending classes on Zoom or Google Hangouts — and that’s fine. 
"
I am not proud of all my predecessors’ views.txt,"When Tennessee became the 36th state to ratify women’s suffrage, one hundred years ago on Tuesday, many American women saw the realization of a dream deferred since the country’s founding: They could have a hand in shaping democracy. 
"
It’s the leader who initially values capitalism over saving lives.txt,"Looking back, I can see it was the definition of overkill. But a few weeks ago, I decided that what my family needed, in the summer of 2020, was a horror movie. So my husband and daughters and I headed to the drive-in movie theater in Wellfleet, Mass., to watch a 45th anniversary rerelease of “Jaws.” 
"
Rising anxiety over declining social status tells us a lot about how we got here and where we’re going.txt,"More and more, politics determine which groups are favored and which are denigrated. 
"
"Many symptoms of Covid-19 were difficult, but losing my ability to taste hurt the most.txt","LAS VEGAS — After I tested positive for Covid-19, I ordered panang curry. When the food arrived, I lifted the plastic lid, expecting the scent of makrut lime, lemongrass and ginger. But there was nothing. I plucked a forkful of tofu from the sauce. It was flavorless. 
"
Italy coheres as America breaks apart.txt,"SANTA MARGHERITA, Italy — In Italy there are seasons — and then there is the season. Summer comes, the country’s woes are set aside, and, to the eternal refrain of “tutti al mare” (“Everyone to the sea”), the exodus to the consoling coast begins. The national debt fades between sea and stars. 
"
"With Biden’s election, American democracy narrowly escaped disaster.txt","So how do I feel two weeks after our election? Awed and terrified. I am in awe at the expression of democracy that took place in America. It was our most impressive election since 1864 and maybe our most important since 1800. And yet, I am still terrified that, but for a few thousand votes in key states, how easily it could have been our last election. 
"
