0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
like,one,know,every,day,people,least,even,world,time,good,always,heart,long,talk,news,something,thing,person,really
government,change,congress,listen,mobile,device,political,subscribe,power,another,federal,relief,climate,act,podcast,passed,high,aid,bill,argument
right,left,like,moment,often,political,way,may,term,many,little,would,america,words,different,politics,kind,leaders,era,powerful
get,back,know,things,still,many,even,people,take,way,one,could,time,going,let,next,long,want,might,someone
work,workers,schools,school,college,millions,like,students,many,working,fall,children,well,home,food,without,university,keep,sick,care
care,coronavirus,health,one,pandemic,medical,country,masks,face,hospitals,plan,hospital,vaccine,doctors,mask,minister,back,prime,months,system
coronavirus,pandemic,country,spread,people,states,across,covid,new,world,even,many,lives,state,place,weeks,home,virus,disease,bret
NUM,million,percent,people,many,americans,years,year,nearly,unemployment,weeks,could,still,since,kong,hong,end,half,may,income
could,called,today,whether,post,book,put,story,writing,said,might,find,told,couldn,read,even,also,great,conspiracy,human
trump,president,biden,joe,donald,election,presidency,office,administration,running,presidential,obama,electoral,american,debate,make,made,much,elect,victory
NUM,times,series,answer,question,special,also,part,found,means,thought,best,history,writers,opinion,ideas,well,may,film,death
years,NUM,ago,two,would,first,time,three,four,came,five,never,took,life,weeks,father,second,NUMs,months,family
NUM,american,one,NUMth,war,year,women,world,century,national,history,military,country,years,ago,since,end,america,time,civil
coronavirus,pandemic,crisis,america,economic,health,economy,life,public,time,americans,response,need,also,great,times,nation,worst,global,worse
election,democratic,NUM,presidential,party,democrats,voters,sanders,bernie,vote,win,campaign,political,votes,republican,american,democracy,voting,even,elections
NUM,year,old,home,day,said,family,time,school,night,friends,last,children,video,started,around,mother,friend,room,high
trump,president,house,national,donald,state,republican,white,one,senate,security,week,last,washington,republicans,administration,secretary,said,declared,convention
black,police,people,white,george,protests,floyd,killing,violence,racial,officers,country,americans,men,streets,racism,mostly,african,june,yet
united,states,china,world,american,foreign,countries,america,government,war,since,international,chinese,europe,european,russia,country,germany,south,around
NUM,covid,last,week,month,coronavirus,died,two,days,first,early,cases,news,disease,announced,least,death,day,tested,people
part,article,sign,newsletter,receive,thursdays,tuesdays,debatable,david,weekday,leonhardt,wrote,today,every,free,opinion,news,reflect,updated,developments
first,media,much,never,one,show,news,almost,thought,better,angeles,anything,twitter,social,person,los,woman,see,ground,happened
new,york,city,last,week,one,company,got,year,times,mexico,chief,mayor,facebook,big,executive,amazon,gov,tech,full
like,summer,small,air,red,fire,across,inside,side,road,used,live,oil,car,water,see,cold,land,nashville,texas
court,justice,supreme,law,state,last,federal,department,week,rights,general,decision,case,conservative,public,constitutional,long,would,monday,religious
