0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
china,world,chinese,war,trade,one,security,beijing,foreign,hong,american,new,kong,last,united,union,minister,iran,deal,international
trump,president,biden,joe,donald,administration,would,obama,national,media,former,campaign,like,policy,said,vice,may,office,democratic,press
NUM,house,democrats,senate,bill,white,congress,week,last,another,relief,year,want,pelosi,political,americans,month,nancy,washington,money
court,supreme,law,justice,federal,general,legal,judge,case,department,last,barrett,political,rights,amy,rule,state,monday,coney,chief
one,time,good,much,people,make,way,world,would,little,media,bad,often,america,political,yet,think,right,become,know
NUM,regarding,years,editorial,two,million,year,first,would,oct,june,aug,country,service,april,every,nov,almost,ago,sept
NUM,school,education,social,schools,public,children,university,may,many,regarding,students,policy,system,california,editorial,well,parents,process,based
NUM,health,care,covid,medical,patients,one,drug,use,way,including,services,need,data,information,april,enough,safety,march,without
election,democratic,NUM,democrats,state,presidential,party,sanders,one,voters,vote,bernie,political,states,republicans,could,republican,politics,voting,senate
NUM,years,american,long,john,would,ago,NUMs,made,history,america,came,regarding,dec,today,early,man,back,died,century
police,america,black,people,american,across,left,called,speech,cities,many,city,country,public,order,george,even,right,government,floyd
coronavirus,covid,pandemic,NUM,many,virus,may,government,public,americans,economy,economic,people,could,states,even,spread,health,vaccine,world
new,york,city,state,one,home,last,first,time,gov,california,year,like,many,two,washington,days,week,long,times
NUM,week,best,next,future,students,night,words,ask,published,view,note,fewer,opinions,responses,editor,submit,click,writing,book
federal,tax,NUM,would,market,new,economic,economy,government,financial,companies,business,income,money,growth,reserve,workers,markets,much,bank
