0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NUM,week,coronavirus,next,future,best,night,published,words,ask,students,covid,fewer,view,pandemic,responses,editor,masks,mask,opinions
NUM,federal,tax,economy,economic,would,income,market,congress,government,money,relief,financial,business,businesses,spending,billion,trillion,small,new
coronavirus,pandemic,covid,states,virus,many,people,crisis,economic,americans,world,health,united,spread,economy,country,public,could,even,america
trump,president,house,senate,white,democrats,department,general,congress,political,security,bill,national,donald,administration,federal,washington,week,impeachment,friday
new,york,city,state,week,twitter,times,gov,facebook,last,media,big,first,tech,cuomo,mayor,andrew,washington,business,like
NUM,covid,may,vaccine,coronavirus,drug,could,effective,data,use,administration,government,research,public,news,good,likely,vaccines,get,must
american,history,women,NUMth,century,america,white,americans,men,NUMs,state,king,black,rights,church,nation,group,war,country,washington
court,supreme,justice,law,federal,judge,state,legal,barrett,case,monday,amy,coney,week,constitutional,constitution,decision,rights,last,right
trump,president,biden,joe,donald,administration,would,obama,election,campaign,debate,presidential,presidency,vice,policy,former,democratic,office,america,harris
care,health,medical,california,workers,climate,public,state,american,one,services,system,patients,without,hospitals,government,energy,industry,patient,like
question,know,would,way,like,going,read,didn,want,time,answer,well,say,times,one,life,might,little,great,book
election,NUM,democratic,presidential,party,democrats,sanders,voters,state,vote,bernie,republican,voting,states,win,political,votes,republicans,tuesday,won
NUM,years,ago,two,year,first,time,family,old,day,weeks,would,home,could,days,one,later,mother,since,never
part,china,article,sign,receive,newsletter,chinese,hong,kong,beijing,david,thursdays,tuesdays,debatable,today,weekday,world,leonhardt,government,free
NUM,would,regarding,editorial,may,isn,problem,oct,world,business,policy,aug,review,also,important,without,process,high,june,example
school,schools,education,students,university,college,children,work,high,class,fall,parents,online,home,student,many,one,families,learning,teachers
good,like,make,time,even,one,know,much,many,news,right,see,way,take,back,work,ever,might,hard,let
news,last,week,national,good,listen,said,days,man,mobile,time,device,weekend,subscribe,thursday,bad,argument,oil,late,may
police,black,people,city,george,one,floyd,protests,violence,across,cities,country,death,killing,streets,community,officers,los,thousands,angeles
one,see,home,every,first,around,fire,san,hour,nashville,city,side,park,red,outside,day,line,place,hand,small
like,get,year,day,around,look,one,time,people,even,old,think,world,back,something,every,days,making,going,always
political,american,america,media,politics,one,left,social,people,power,self,democracy,liberal,seems,years,society,culture,free,institutions,often
war,world,united,china,trade,states,american,military,minister,president,european,prime,europe,government,iran,international,peace,country,america,since
NUM,million,year,years,last,americans,people,country,two,percent,month,first,new,number,nearly,cases,least,week,many,covid
NUM,regarding,editorial,june,years,april,nov,journal,jan,letter,dec,writing,march,july,street,oct,letters,members,feb,aug
